timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724393574904,556,ListSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-52,,true,,111356,1700,71,71,null,525,12811,0
1724393588157,138,List_MajorValidSchool,200,OK,Onboarding_List APIs 2-41,text,true,,1710,1706,71,71,https://uat-api.nmy-internal.com/onboarding/list-major/,138,0,0
1724393575756,138,ListMajorValidSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-41,,true,,1710,1706,71,71,null,138,12401,0
1724393588308,57,List_Student,200,OK,Onboarding_List APIs 2-96,text,true,,995,1655,71,71,https://uat-api.nmy-internal.com/onboarding/list-student/,57,0,0
1724393578386,57,ListStudent,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-96,,true,,995,1655,71,71,null,57,9923,0
1724393588398,53,List_States,200,OK,Onboarding_List APIs 2-82,text,true,,1612,1654,71,71,https://uat-api.nmy-internal.com/onboarding/list-states/,53,0,0
1724393577924,53,ListStates,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-82,,true,,1612,1654,71,71,null,53,10474,0
1724393587732,752,DoLogin/identity/do-login-1,200,OK,Onboarding_List APIs 2-100,text,true,,1941,573,71,71,https://uat-api.nmy-internal.com/identity/do-login,752,0,18
1724393573831,752,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-100,,true,,1941,573,71,71,null,752,13902,18
1724393588422,69,List_Enrollment,200,OK,Onboarding_List APIs 2-58,text,true,,1087,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,69,0,0
1724393574280,69,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-58,,true,,1087,1658,71,71,null,69,14142,0
1724393588643,53,Get_User_info/identity/get-user-info/-4,200,OK,Onboarding_List APIs 2-35,text,true,,1216,1674,71,71,https://uat-api.nmy-internal.com/identity/get-user-info/,53,0,0
1724393574154,53,Get_User_info,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-35,,true,,1216,1674,71,71,null,53,14489,0
1724393588698,60,List_occupation,200,OK,Onboarding_List APIs 2-78,text,true,,1938,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-occupation/,60,0,8
1724393575290,60,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-78,,true,,1938,1658,71,71,null,60,13408,8
1724393589083,118,Get_User_Application_Details/onboarding/get-user-application-details/-9,200,OK,Onboarding_List APIs 2-44,text,true,,1431,1671,71,71,https://uat-api.nmy-internal.com/onboarding/get-user-application-details/,118,0,7
1724393576097,118,Get_User_Application_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-44,,true,,1431,1671,71,71,null,118,12986,7
1724393589384,70,List_Education,200,OK,Onboarding_List APIs 2-70,text,true,,1158,1657,71,71,https://uat-api.nmy-internal.com/onboarding/list-education/,70,0,0
1724393579911,70,ListEducation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-70,,true,,1158,1657,71,71,null,70,9474,0
1724393589356,172,Get_StateCity,200,OK,Onboarding_List APIs 2-73,text,true,,918,1672,71,71,https://uat-api.nmy-internal.com/onboarding/get-state-city/?zip_code=58321,172,0,0
1724393578255,172,GetStateCity,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-73,,true,,918,1672,71,71,null,172,11102,0
1724393589575,52,Get_User_info/identity/get-user-info/-4,200,OK,Onboarding_List APIs 2-23,text,true,,1216,1674,71,71,https://uat-api.nmy-internal.com/identity/get-user-info/,52,0,0
1724393578333,52,Get_User_info,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-23,,true,,1216,1674,71,71,null,52,11242,0
1724393590042,62,Valid_Date,200,OK,Onboarding_List APIs 2-45,text,true,,886,1761,71,71,https://uat-api.nmy-internal.com/onboarding/zip-validate/,62,0,7
1724393576075,62,ValidDate,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-45,,true,,886,1761,71,71,null,62,13968,7
1724393590192,95,List_Employment,200,OK,Onboarding_List APIs 2-91,text,true,,1056,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-employment/,95,0,0
1724393579868,95,ListEmployment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-91,,true,,1056,1658,71,71,null,95,10324,0
1724393590225,89,List_occupation,200,OK,Onboarding_List APIs 2-76,text,true,,1938,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-occupation/,89,0,7
1724393581067,89,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-76,,true,,1938,1658,71,71,null,89,9158,7
1724393590274,988,List_School,200,OK,Onboarding_List APIs 2-54,text,true,,111358,1700,71,71,https://uat-api.nmy-internal.com/onboarding/list-school/,963,0,0
1724393577057,988,ListSchool,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-54,,true,,111358,1700,71,71,null,963,13223,0
1724393590651,646,Get_User_Application_Details/onboarding/get-user-application-details/-9,200,OK,Onboarding_List APIs 2-43,text,true,,1429,1671,71,71,https://uat-api.nmy-internal.com/onboarding/get-user-application-details/,646,0,0
1724393574690,646,Get_User_Application_Details,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-43,,true,,1429,1671,71,71,null,646,15961,0
1724393591352,79,List_Enrollment,200,OK,Onboarding_List APIs 2-57,text,true,,1087,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-enrollment/,79,0,0
1724393580386,79,ListEnrollment,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-57,,true,,1087,1658,71,71,null,79,10967,0
1724393591763,57,List_occupation,200,OK,Onboarding_List APIs 2-79,text,true,,1938,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-occupation/,57,0,7
1724393576101,57,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-79,,true,,1938,1658,71,71,null,57,15662,7
1724393591813,50,List_Student,200,OK,Onboarding_List APIs 2-99,text,true,,995,1655,71,71,https://uat-api.nmy-internal.com/onboarding/list-student/,50,0,0
1724393582120,50,ListStudent,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-99,,true,,995,1655,71,71,null,50,9693,0
1724393591933,58,List_occupation,200,OK,Onboarding_List APIs 2-75,text,true,,1938,1658,71,71,https://uat-api.nmy-internal.com/onboarding/list-occupation/,58,0,7
1724393580473,58,Listoccupation,200,"Number of samples in transaction : 1, number of failing samples : 0",Onboarding_List APIs 2-75,,true,,1938,1658,71,71,null,58,11461,7
